CLAVE,NOMBRE,DESCRIPCION
010-000-0615-00,DOBUTAMINA SOLUCIÓN INYECTABLE. (250MG/5ML),CADA FRASCO ÁMPULA O AMPOLLETA CONTIENE: CLORHIDRATO DE DOBUTAMINA EQUIVALENTE A 250 MG DE DOBUTAMINA. ENVASE CON 5 AMPOLLETAS CON 5 ML CADA UNA O CON UN FRASCO ÁMPULA CON 20 ML. 
010-000-0614-00,DOPAMINA SOLUCIÓN INYECTABLE. (200MG/5ML),CADA AMPOLLETA CONTIENE: CLORHIDRATO DE DOPAMINA 200 MILIGRAMOS. ENVASE CON 5 AMPOLLETAS CON 5 ML.
010-000-3623-00,ELECTROLITOS ORALES SOLUCIÓN. ,CADA SOBRE CON POLVO CONTIENE: GLUCOSA 20.0 G CLORURO DE POTASIO 1.5 G CLORURO DE SODIO 3.5 G CITRATO TRISÓDICO DIHIDRATADO 2.9 G. ENVASE CON 27.9 G.
010-000-2501-00,ENALAPRIL O LISINOPRIL O RAMIPRIL CÁPSULA O TABLETA. (10MG),CADA CÁPSULA O TABLETA CONTIENE: MALEATO DE ENALAPRIL 10 MG O LISINOPRIL 10 MG O RAMIPRIL 10 MG ENVASE CON 30 CÁPSULAS O TABLETAS.
010-000-2154-00,ENOXAPARINA SOLUCIÓN INYECTABLE (40MG/0.4ML),CADA JERINGA CONTIENE: ENOXAPARINA SODICA 40 MG. ENVASE CON 2 JERINGAS DE 0.4 ML.
010-000-0611-00,EPINEFRINA SOLUCIÓN INYECTABLE. (1MG/1ML),CADA AMPOLLETA CONTIENE: EPINEFRINA 1 MG. (1:1000). ENVASE CON 50 AMPOLLETAS CON 1 ML.
010-000-5332-00,ERITROPOYETINA SOLUCIÓN INYECTABLE. ,CADA FRASCO ÁMPULA CON LIOFILIZADO O SOLUCION CONTIENE: ERITROPOYETINA HUMANA RECOMBINANTE O ERITROPOYETINA HUMANA RECOMBINANTE ALFA O ERITROPOYETINA BETA 2000 UI. ENVASE CON 12 FRASCOS ÁMPULA 1 ML CON O SIN DILUYENTE.
010-000-5105-00,ESMOLOL  SOLUCIÓN INYECTABLE. (250MG/ML),CADA AMPOLLETA CONTIENE: CLORHIDRATO DE ESMOLOL 2.5 G. ENVASE CON 2 AMPOLLETAS CON 10 ML (250 MG/ML) 
010-000-2304-01,ESPIRONOLACTONA TABLETA. (25MG),CADA TABLETA CONTIENE: ESPIRONOLACTONA 25 MG .ENVASE CON 30 TABLETAS.
010-000-2624-00,FENITOÍNA SOLUCIÓN INYECTABLE (250MG/5ML),CADA AMPOLLETA CONTIENE: FENÍTOINA SÓDICA 250 MG. ENVASE CON UNA AMPOLLETA (250 MG/5 ML).
010-000-2611-00,FENITOÍNA SUSPENSIÓN ORAL.  (37.5 MG / 5 ML),CADA 5 ML CONTIENEN: FENITOINA 37.5 MG.  ENVASE CON 120 ML Y VASITO DOSIFICADOR DE 5 ML.
010-000-0626-01,FITOMENADIONA SOLUCIÓN O EMULSIÓN INYECTABLE. (10MG/1ML),CADA AMPOLLETA CONTIENE: FITOMENADIONA 10 MG. ENVASE CON 5 AMPOLLETAS DE 1 ML.
010-000-1732-01,FITOMENADIONA SOLUCIÓN O EMULSIÓN INYECTABLE. (2MG/0.2ML),CADA AMPOLLETA CONEIENTE FITOMENADIONA 2 MG. ENVASE CON 5 AMPOLLETAS DE O.2 ML
010-000-2135-00,FLUCONAZOL SOLUCIÓN INYECTABLE. (2MG/ML) (100MG),CADA FRASCO ÁMPULA CONTIENE: FLUCONAZOL 100 MG. ENVASE CON UN FRASCO AMPULA CON 50 ML (2 MG/ML).
030-000-0021-00,FORMULA DE PROTEINA AISLADA DE SOYA. POLVO. ,"CONTENIDO EN: KILOCALORIAS: UNIDAD KCAL, EN 100 G, MINIMO 515.00, MAXIMO 524.00. EN 100 KCAL, MINIMO 100.00, MAXIMO 100.00. EN 100 ML, MINIMO 66.67, MAXIMO 68.00; LIPIDOS: UNIDAD G, EN 100 G, MINIMO 20.00, MAXIMO 28.30. EN 100 KCAL, MINIMO 5.30, MAXIMO 5.46. EN 100 ML, MINIMO 3.60, MAXIMO 3.70; PROTEINAS: UNIDAD G, EN 100 G, MINIMO 13.70, MAXIMO 15.60. EN 100 KCAL, MINIMO 2.64, MAXIMO 3.0. EN 100 ML, MINIMO 1.80, MAXIMO 2.0; TAURINA: UNIDAD MG, EN 100 G, MINIMO 0.00, MAXIMO 36.00. EN 100 KCAL, MINIMO 0.00, MAXIMO 7.00. EN 100 ML, MINIMO 0.00, MAXIMO 4.60; HIDRATOS DE CARBONO: UNIDAD G, EN 100 G, MINIMO 51.00, MAXIMO 54.00. EN 100 KCAL, MINIMO 10.00, MAXIMO 10.40. EN 100 ML, MINIMO 6.60, MAXIMO 6.90; SODIO: UNIDAD MG, EN 100 G, MINIMO 140.00, MAXIMO 243.00. EN 100 KCAL, MINIMO 27.00, MAXIMO 47.00. EN 100 ML, MINIMO 18.00, MAXIMO 32.00; POTASIO: UNIDAD MG, EN 100 G, MINIMO 525.00, MAXIMO 629.00. EN 100 KCAL, MINIMO 100.00, MAXIMO 120.00. EN 100 ML, MINIMO 65.00, MAXIMO 81.12; CLORUROS: UNIDAD MG, EN 100 G, MINIMO 315.00, MAXIMO 449.00. EN 100 KCAL, MINIMO 60.00, MAXIMO 86.90. EN 100 ML, MINIMO 40.00, MAXIMO 59.00; CALCIO: UNIDAD MG, EN 100 G, MINIMO 420.00, MAXIMO 532.00. EN 100 KCAL, MINIMO 80.00, MAXIMO 102.90. EN 100 ML, MINIMO 54.00, MAXIMO 70.00; FOSFORO: UNIDAD MG, EN 100 G, MINIMO 210.00, MAXIMO 393.00. EN 100 KCAL, MINIMO 40.00, MAXIMO 75.00. EN 100 ML, MINIMO 27.00, MAXIMO 50.70; L-CARNITINA: UNIDAD MG, EN 100 G, MINIMO 0.00, MAXIMO 12.00. EN 100 KCAL, MINIMO 0.00, MAXIMO 2.30. EN 100 ML, MINIMO 0.00, MAXIMO 1.50; VITAMINA A: UNIDAD U.I., EN 100 G, MINIMO 1572.00, MAXIMO 2000.00. EN 100 KCAL, MINIMO 300.00, MAXIMO 386.66. EN 100 ML, MINIMO 202.80, MAXIMO 263.00; VITAMINA D: UNIDAD U.I., EN 100 G, MINIMO 304.00, MAXIMO 350.00. EN 100 KCAL, MINIMO 60.00, MAXIMO 66.00. EN 100 ML, MINIMO 40.00, MAXIMO 44.00; VITAMINA E: UNIDAD U.I., EN 100 G, MINIMO 10.50, MAXIMO 19.40. EN 100 KCAL, MINIMO 2.00, MAXIMO 3.00. EN 100 ML, MINIMO 1.35, MAXIMO 2.57; VITAMINA K: UNIDAD MICROGRAMOS, EN 100 G, MINIMO 40.00, MAXIMO 76.00. EN 100 KCAL, MINIMO 8.00, MAXIMO 15.00. EN 100 ML, MINIMO 5.00, MAXIMO 10.00; VITAMINA C: UNIDAD MG, EN 100 G, MINIMO 53.00, MAXIMO 68.00. EN 100 KCAL, MINIMO 10.30, MAXIMO 13.50. EN 100 ML, MINIMO 7.00, MAXIMO 9.00; VITAMINA B1 (TIAMINA): UNIDAD MICROGRAMOS, EN 100 G, MINIMO 300.00, MAXIMO 758.00. EN 100 KCAL, MINIMO 60.00, MAXIMO 150.00. EN 100 ML, MINIMO 40.00, MAXIMO 100.00; VITAMINA B2 (RIBOFLAVINA): UNIDAD MICROGRAMOS, EN 100 G, MINIMO 456.00, MAXIMO 1136.00. EN 100 KCAL, MINIMO 88.20, MAXIMO 225.00. EN 100 ML, MINIMO 60.00, MAXIMO 150.00; NIACINA: UNIDAD MICROGRAMOS, EN 100 G, MINIMO 3000.00, MAXIMO 5300.00. EN 100 KCAL, MINIMO 600.00, MAXIMO 1350.00. EN 100 ML, MINIMO 400.00, MAXIMO 700.00; VITAMINA B6 (PIRIDOXINA): UNIDAD MICROGRAMOS, EN 100 G, MINIMO 300.00, MAXIMO 455.00. EN 100 KCAL, MINIMO 58.80, MAXIMO 90.00. EN 100 ML, MINIMO 40.00, MAXIMO 60.00; ACIDO FOLICO: UNIDAD MICROGRAMOS, EN 100 G, MINIMO 61.00, MAXIMO 100.00. EN 100 KCAL, MINIMO 12.00, MAXIMO 19.40. EN 100 ML, MINIMO 8.00, MAXIMO 13.20; ACIDO PANTOTENICO: UNIDAD MICROGRAMOS, EN 100 G, MINIMO 2000.00, MAXIMO 3800.00. EN 100 KCAL, MINIMO 400.00, MAXIMO 750.00. EN 100 ML, MINIMO 300.00, MAXIMO 500.00; VITAMINA B12 (CIANOCOBALAMINA): UNIDAD MICROGRAMOS, EN 100 G, MINIMO 1.50, MAXIMO 2.30. EN 100 KCAL, MINIMO 0.30, MAXIMO 0.41. EN 100 ML, MINIMO 020, MAXIMO 0.30; BIOTINA: UNIDAD MICROGRAMOS, EN 100 G, MINIMO 12.00, MAXIMO 27.00. EN 100 KCAL, MINIMO 2.30, MAXIMO 5.30. EN 100 ML, MINIMO 1.50, MAXIMO 3.50; COLINA: UNIDAD MG, EN 100 G, MINIMO 55.00, MAXIMO 63.00. EN 100 KCAL, MINIMO 10.00, MAXIMO 12.80. EN 100 ML, MINIMO 7.0, MAXIMO 8.50; INOSITOL: UNIDAD MG, EN 100 G, MINIMO 25.80, MAXIMO 89.00. EN 100 KCAL, MINIMO 5.00, MAXIMO 17.00. EN 100 ML, MINIMO 3.40, MAXIMO 11.50; MAGNESIO: UNIDAD MG, EN 100 G, MINIMO 40.00, MAXIMO 58.00. EN 100 KCAL, MINIMO 7.50, MAXIMO 11.00. EN 100 ML, MINIMO 5.00, MAXIMO 7.44; HIERRO: UNIDAD MG, EN 100 G, MINIMO 6.30, MAXIMO 9.40. EN 100 KCAL, MINIMO 1.20, MAXIMO 1.80. EN 100 ML, MINIMO 0.80, MAXIMO 1.20; YODO: UNIDAD MICROGRAMOS, EN 100 G, MINIMO 76.00, MAXIMO 105.00. EN 100 KCAL, MINIMO 14.70, MAXIMO 20.00. EN 100 ML, MINIMO 10.00, MAXIMO 13.00; COBRE: UNIDAD MICROGRAMOS, EN 100 G, MINIMO 315.00, MAXIMO 424.00. EN 100 KCAL, MINIMO 60.00, MAXIMO 84.00. EN 100 ML, MINIMO 40.00, MAXIMO 56.00; ZINC: UNIDAD MG, EN 100 G, MINIMO 4.50, MAXIMO 6.00. EN 100 KCAL, MINIMO 0.90, MAXIMO 1.20. EN 100 ML, MINIMO 0.49, MAXIMO 0.81; MANGANESO: UNIDAD MICROGRAMOS, EN 100 G, MINIMO 131.00, MAXIMO 304.00. EN 100 KCAL, MINIMO 25.00, MAXIMO 59.00. EN 100 ML, MINIMO 16.90, MAXIMO 40.00; POR CIENTO DE DILUCION, UNIDAD POR CIENTO.- EN CADA 100 GRAMOS MINIMO 13.00, MAXIMO 13.70. ENVASE CON 400 A 454 G Y MEDIDA DE 4.30 A 4.50 G."
030-000-0013-00,FORMULA DE PROTEINA EXTENSAMENTE HIDROLIZADA. POLVO. ,"CONTENIDO EN NUTRIMENTOS: KILOCALORIAS.- EN CADA 100 GRAMOS MINIMO 457.0, MAXIMO 470.00, EN CADA 100 KILOCALORIAS MINIMO 100, MAXIMO 100, EN CADA 100 MILILITROS MINIMO 66.00 MAXIMO 70.00; LIPIDOS UNIDAD EN GRAMOS.- EN CADA 100 GRAMOS MINIMO 20.108, MAXIMO 28.2, EN CADA 100 KILOCALORIAS MINIMO 4.4, MAXIMO 6, EN CADA 100 MILILITROS MINIMO 2.90, MAXIMO 4.20; A.LINOLEICO.- UNIDAD MG EN 100 G. MINIMO 1371 MAXIMO 6580 EN 100 KCALS. MINIMO 300 MAXIMO 1400 100 ML. MINIMO 198.00 MAXIMO 980.00. A.LINOLENICO.- UNIDAD MG EN 100 G. MINIMO 228.5 MAXIMO SE* EN 100 KCALS. MINIMO 50 MAXIMO SE 100 ML. MINIMO 33.00 MAXIMO SE*. RELAC A. LINOLEICO/ A. ? LINOLENICO EN 100CADA 100 GRAMOS.- MINIMO 5:1, MAXIMO 15:1, EN CADA 100 KILOCALORIAS MINIMO 5:1, MAXIMO 15:1, EN CADA 100 ML. MINIMO 5:1, MAXIMO 15:1; PROTEINA HIDROLIZADA DE CASEINA Y/O SUERO, PEPTIDOS: 85% O MAS, DE MENOS DE 1,500 DALTONS UNIDAD EN GRAMOS.- EN CADA 100 GRAMOS MINIMO 10.2825, MAXIMO 14.1, EN CADA 100 KILOCALORIAS MINIMO 2.25, MAXIMO 3, EN CADA 100 MILILITROS MINIMO 1.49, MAXIMO 2.10; TAURINA EN MILIGRAMOS.- EN CADA 100 KILOCALORIAS MINIMO 6.00, MAXIMO 8.00; HIDRATOS DE CARBONO ** UNIDAD EN GRAMOS.- EN CADA 100 GRAMOS MINIMO 45.7 MAXIMO 65.8, EN CADA 100 KILOCALORIAS MINIMO 10, MAXIMO 14, EN CADA 100 MILILITROS MINIMO 6.60, MAXIMO 980; SODIO UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 91.4, MAXIMO 282, EN CADA 100 KILOCALORIAS MINIMO 20, MAXIMO 60, EN CADA 100 MILILITROS MINIMO 13.20, MAXIMO 42.00; POTASIO UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 447.86, MAXIMO 752, EN CADA 100 KILOCALORIAS MINIMO 98, MAXIMO 160, EN CADA 100 MILILITROS MINIMO 64.68, MAXIMO 112.00; CLORUROS UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 287.91, MAXIMO 752, EN CADA 100 KILOCALORIAS MINIMO 63, MAXIMO 160, EN CADA 100 MILILITROS MINIMO 41.58, MAXIMO 112.00; CALCIO UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 370.17, MAXIMO 658, EN CADA 100 KILOCALORIAS MINIMO 81, MAXIMO 140, EN CADA 100 MILILITROS MINIMO 53.46, MAXIMO 98.00 ; FOSFORO UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 187.37, MAXIMO 470, EN CADA 100 KILOCALORIAS MINIMO 41, MAXIMO 100, EN CADA 100 MILILITROS MINIMO 27.06, MAXIMO 70.00; RELACION CA/P EN CADA 100 GRAMOS MINIMO 1:1, MAXIMO 2:1, EN CADA 100 KILOCALORIAS MINIMO 1:1, MAXIMO 2:1, EN CADA 100 MILILITROS MINIMO 1:1, MAXIMO 2:1; VITAMINA A ER (RETINO)1 UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 274.2, MAXIMO 846, EN CADA 100 KILOCALORIAS MINIMO 60, MAXIMO 180, EN CADA 100 MILILITROS MINIMO 39.60, MAXIMO 126.00; VITAMINA D3 (CALCIFEROL) 2.- UNIDAD EN MG.- EN CADA 100 GRAMOS MINIMO 4.57, MAXIMO 11.75, EN CADA 100 KILOCALORIAS MINIMO 1, MAXIMO2.5, EN CADA 100 MILILITROS MINIMO 0.66, MAXIMO 1.75; VITAMINA E (A TOCOFEROL).- EN UNIDAD MG..- EN CADA 100 GRAMOS MINIMO 2.285, MAXIMO 23.5, EN CADA 100 KILOCALORIAS MINIMO 0.5 MAXIMO 5, EN CADA 100 MILILITROS MINIMO 0.33, MAXIMO 3.50; VITAMINA K UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 35.189, MAXIMO 117.5, EN CADA 100 KILOCALORIAS MINIMO 7.7, MAXIMO 25, EN CADA 100 MILILITROS MINIMO 5.08, MAXIMO 17.50; VITAMINA C UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 36.56, MAXIMO 51.7, EN CADA 100 KILOCALORIAS MINIMO 8, MAXIMO 11, EN CADA 100 MILILITROS MINIMO 5.28, MAXIMO 7.70; VITAMINA B1 (TIAMINA) EN MICROGRAMOS. ..- EN CADA 100 GRAMOS MINIMO 274.2, MAXIMO 1410, EN CADA 100 KILOCALORIAS MINIMO 60, MAXIMO 300, EN CADA100 MILILITROS MINIMO 39.60, MAXIMO 210.00; VITAMINA B2 (RIBOFLAVINA).- UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 411.3 MAXIMO 1880, EN CADA 100 KILOCALORIAS MINIMO 90, MAXIMO 400, EN CADA 100 MILILITROS MINIMO 59.40, MAXIMO 280; NIACINA UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 3427.5, MAXIMO 7050 EN CADA 100 KILOCALORIAS MINIMO 750, MAXIMO 1500, EN CADA 100 MILILITROS MINIMO 495.00, MAXIMO 1050.00; VITAMINA B6 (PIRIDOXINA) UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 274.2, MAXIMO 822.5, EN CADA 100 KILOCALORIAS MINIMO 60, MAXIMO 175, EN CADA 100 MILILITROS MINIMO 39.60, MAXIMO 122.50; ACIDO FOLICO UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 45.7, MAXIMO 235, EN CADA 100 KILOCALORIAS MINIMO 10, MAXIMO 50, EN CADA 100 MILILITROS MINIMO 6.60, MAXIMO 35.00; ACIDO PANTOTENICO UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 1828, MAXIMO 9400, EN CADA 100 KILOCALORIAS MINIMO 400, MAXIMO 2000, EN CADA 100 MILILITROS MINIMO 264.00, MAXIMO 1400.00; VITAMINA B12 (CIANOCOBALAMINA UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 0.914, MAXIMO 7.05, EN CADA 100 KILOCALORIAS MINIMO 0.2, MAXIMO 1.5, EN CADA 100 MILILITROS MINIMO 0.13, MAXIMO 1.05; BIOTINA UNIDAD EN MICROGRAMOS.-.- EN CADA 100 GRAMOS MINIMO 0.914, MAXIMO 7.05, EN CADA 100 KILOCALORIAS MINIMO 0.2, MAXIMO 1.5, EN CADA 100 MILILITROS MINIMO 0.13, MAXIMO 1.05; COLINA UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 0.914, MAXIMO 7.05, EN CADA 100 KILOCALORIAS MINIMO 0.2, MAXIMO 1.5, EN CADA 100 MILILITROS MINIMO 0.13, MAXIMO 1.05; MIOINOSITOL UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 18.28,MAXIMO 188, EN CADA 100 KILOCALORIAS MINIMO 4, MAXIMO 40, EN CADA 100 MILILITROS MINIMO 2.64, MAXIMO 28.00; MAGNESIO UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 50.27, MAXIMO 70.5, EN CADA 100 KILOCALORIAS MINIMO 11, MAXIMO 15, EN CADA 100 MILILITROS MINIMO 7.26, MAXIMO 1050; HIERRO UNIDADEN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 5484, MAXIMO 6.11, EN CADA 100 KILOCALORIAS MINIMO 1.2, MAXIMO 1.3, EN CADA 100 MILILITROS MINIMO 0.79, MAXIMO 0.91; YODO UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 45.7, MAXIMO 235, EN CADA 100 KILOCALORIAS MINIMO 10, MAXIMO 50, EN CADA 100 MILILITROS MINIMO 6.60, MAXIMO 35.00; COBRE UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 274.2, MAXIMO 465.3, EN CADA 100 KILOCALORIAS MINIMO 60, MAXIMO 99, EN CADA 100 MILILITROS MINIMO 39.60, MAXIMO 69.30; ZINC UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 2.285, MAXIMO 7.05, EN CADA 100 KILOCALORIAS MINIMO 0.5, MAXIMO 1.5, EN CADA 100 MILILITROS MINIMO 0.33, MAXIMO 1.05; MANGANESO UNIDAD EN MICROGRAMOS.- EN CADA 100 GRAMOS MINIMO 31.99, MAXIMO 235, EN CADA 100 KILOCALORIAS MINIMO 7, MAXIMO 50, EN CADA 100 MILILITROS MINIMO 4.62, MAXIMO 35; CARNITINA UNIDAD EN MILIGRAMOS.- EN CADA 100 GRAMOS MINIMO 31.99, MAXIMO 235, EN CADA 100 KILOCALORIAS MINIMO 7, MAXIMO 50, EN CADA 100 MILILITROS MINIMO 4.62, MAXIMO 35; SELENIO UNIDAD EN MICROGRAMOS EN CADA 100 GRAMOS MINIMO 4.57, MAXIMO 42.3, EN CADA 100 KILOCALORIAS MINIMO 1, MAXIMO 9, EN CADA 100 MILILITROS MINIMO 0.66, MAXIMO 6.30; NUCLEOTIDOS (OPCIONALES) UNIDAD EN MILIGRAMOS EN CADA 100 GRAMOS MINIMO 8.683, MAXIMO 75.2, EN CADA 100 KILOCALORIAS MINIMO 1.9, MAXIMO 16, EN CADA 100 MILILITROS MINIMO 1.25, MAXIMO 11.20; CROMO (OPCIONAL) UNIDAD EN MICROGRAMOS EN CADA 100 GRAMOS MINIMO 6855, MAXIMO 47, EN CADA 100 KILOCALORIAS MINIMO 1.5, MAXIMO 10, EN CADA 100 MILILITROS MINIMO 0.99, MAXIMO 7.00; MOLIBDENO (OPCIONAL) UNIDAD EN MICROGRAMOS EN CADA 100 GRAMOS MINIMO 6855, MAXIMO 47, EN CADA 100 KILOCALORIAS MINIMO 1.5, MAXIMO 10, EN CADA 100 MILILITROS MINIMO 0.99, MAXIMO 7.00; TAURINA (OPCIONAL) UNIDAD EN MILIGRAMOS EN CADA 100 GRAMOS MINIMO 27.42, MAXIMO 56.4, EN CADA 100 KILOCALORIAS MINIMO 6, MAXIMO 12, EN CADA 100 MILILITROS MINIMO 3.96, MAXIMO 8.40 DILUCION 14.5% A 15.00%. ENVASE CON 400 A 450 G Y MEDIDA DE 4.30 A 4.50 G.* AUNQUE NO EXISTE UN NIVEL SUPERIOR DE RECOMENDACION SIEMPRE DEBERA CONSERVAR LA RELACION DE ACIDO LINOLEICO/ACIDO LINOLENICO. ** HIDRATOS DE CARBONO: LA LACTOSA Y LOS POLIMEROS DE GLUCOSA DEBEN SER LOS HIDRATOS DE CARBONO PREFERIDOS, SOLO PODRAN AÑADIRSE ALMIDONES NATURALMENTE EXENTOS DE GLUTEN PRECOCIDOS Y/O GELATINIZADOS HASTA UN MAXIMO DE 30% DEL CONTENIDO TOTAL DE HIDRATOS DE CARBONO Y HASTA UN MAXIMO DE 2 G/100ML. DEBERA EVITARSE EL USO DE SACAROSA Y/O ADICION DE FRUCTUOSA."
010-000-5335-01,FOSFOLÍPIDOS DE PULMÓN PORCINO SUSPENSIÓN.,CADA MILILITRO CONTIENE: FOSFOLÍPIDOS DE PULMÓN PORCINO 80 MG. ENVASE CON 3 ML.
010-000-1701-00,FUMARATO FERROSO TABLETA. (200MG),CADA TABLETA CONTIENE: FUMARATO FERROSO 200 MG EQUIVALENTE A 65.74 MG DE HIERRO ELEMENTAL. ENVASE CON 50 TABLETAS.
010-000-2308-00,FUROSEMIDA SOLUCIÓN INYECTABLE. (20MG/2ML),CADA AMPOLLETA CONTIENE: FUROSEMIDA 20 MG.ENVASE CON 5 AMPOLLETAS DE 2 ML.
010-000-2307-00,FUROSEMIDA TABLETA. (40MG),CADA TABLETA CONTIENE: FUROSEMIDA 40 MG ENVASE CON 20 TABLETAS.
010-000-3620-00,GLUCONATO DE CALCIO SOLUCIÓN INYECTABLE (1GR / 10ML),CADA AMPOLLETA CONTIENE: GLUCONATO DE CALCIO 1 G EQUIVALENTE A 0.093 G DE CALCIO IONIZABLE. ENVASE CON 50 AMPOLLETAS DE 10 ML.
010-000-0621-00,HEPARINA SOLUCIÓN INYECTABLE (10 000 UI) (1000UI/ML),CADA FRASCO ÁMPULA CONTIENE: HEPARINA SODICA EQUIVALENTE A 10 000 UI DE HEPARINA. ENVASE CON 50 FRASCOS ÁMPULA CON 10 ML (1000 UI/ML).
010-000-0622-00,HEPARINA SOLUCIÓN INYECTABLE (25 000 UI) (5000UI/ML),CADA FRASCO ÁMPULA CONTIENE: HEPARINA SODICA EQUIVALENTE A 25 000 UI DE HEPARINA. ENVASE CON 50 FRASCOS ÁMPULA CON 5 ML (5000 UI/ML).
010-000-4201-00,HIDRALAZINA SOLUCIÓN INYECTABLE. (20MG/1ML),CADA AMPOLLETA  O FRASCO ÁMPULA CONTIENE: CLORHIDRATO DE HIDRALAZINA 20 MG. ENVASE CON 5 AMPOLLETAS CON 1.0 ML.
010-000-0570-00,HIDRALAZINA TABLETA. (10MG),CADA TABLETA CONTIENE: CLORHIDRATO DE HIDRALAZINA 10 MG. ENVASE CON 20 TABLETAS.
010-000-2301-00,HIDROCLOROTIAZIDA TABLETA. (25MG),CADA TABLETA CONTIENE: HIDROCLOROTIAZIDA 25 MG. ENVASE CON 20 TABLETAS.
010-000-0474-00,HIDROCORTISONA SOLUCIÓN INYECTABLE. (100MG/2ML),CADA FRASCO ÁMPULA CONTIENE: SUCCINATO SÓDICO DE HIDROCORTISONA EQUIVALENTE A 100 MG DE HIDROCORTISONA. ENVASE CON 50 FRASCOS ÁMPULA Y 50 AMPOLLETAS CON 2 ML DE DILUYENTE.
010-000-1705-00,HIERRO DEXTRÁN SOLUCIÓN INYECTABLE. (100MG/2ML),CADA AMPOLLETA CONTIENE: HIERRO EN FORMA DE HIERRO DEXTRÁN 100 MG. ENVASE CON 3 AMPOLLETAS DE 2 ML.
010-000-3413-00,INDOMETACINA CÁPSULA. (25MG),CADA CÁPSULA CONTIENE: INDOMETACINA 25 MG.ENVASE CON 30 CAPSULAS.
010-000-3412-00,INDOMETACINA SUPOSITORIO (100MG),CADA SUPOSITORIO CONTIENE: INDOMETACINA 100 MG ENVASE CON 6 SUPOSITORIOS.
010-000-1591-00,INMUNOGLOBULINA ANTI D SOLUCIÓN INYECTABLE. (300MG),CADA FRASCO AMPULA O JERINGA PRELLENADA CONTIENE: INMUNOGLOBULINA ANTI D 0.300 MG. ENVASE CON UN FRASCO ÁMPULA CON O SIN DILUYENTE O UNA JERINGA O UNA AMPOLLETA.
010-000-5240-00,INMUNOGLOBULINA G NO MODIFICADA SOLUCION INYECTABLE. ,CADA FRASCO AMPULA CON LIOFILIZADO O SOLUCION CONTIENEN: INMUNOGLOBULINA G NO MODIFICADA 6 G. ENVASE CON UN FRASCO AMPULA CON 120 ML.
010-000-1050-01,INSULINA HUMANA ACCION INTERMEDIA NPH SUSPENSIÓN INYECTABLE,CADA ML CONTIENE: INSULINA HUMANA ISOFANA (ORIGEN ADN RECOMBINANTE) 100 UI O INSULINA ZINC ISOFANA HUMANA (ORIGEN ADN RECOMBINANTE) 100 UI ENVASE CON UN FRASCO ÁMPULA CON 10 ML.
010-000-1051-01,INSULINA HUMANA ACCIÓN RÁPIDA REGULAR. SOLUCIÓN INYECTABLE. ,CADA ML CONTIENE: INSULINA HUMANA (ORIGEN ADN RECOMBINANTE) 100 UI O INSULINA ZINC ISÓFANA HUMANA (ORIGEN ADN RECOMBINANTE) 100 UI. ENVASE CON UN FRASCO ÁMPULA CON 10 ML.
010-000-2162-00,IPRATROPIO SUSPENSIÓN EN AEROSOL. ,CADA G CONTIENE: BROMURO DE IPRATROPIO 0.286 MG (20 MICROGRAMO POR NEBULIZACIÓN). ENVASE CON 15 ML (21.0 G) COMO AEROSOL.
010-000-2187-00,"IPRATROPIO, BROMURO DE, SOLUCION (0.25 MG )",ENVASE CON 20 ML
010-000-2188-00,IPRATROPIO - SALBUTAMOL SOLUCION (0.50 MG/2.50 MG/2.5 ML),10 AMPOLLETAS DE 2.5 ML
010-000-3422-00,KETOROLACO SOLUCIÓN INYECTABLE.  (30MG/1ML),CADA FRASCO ÁMPULA O AMPOLLETA CONTIENE: KETOROLACO-TROMETAMINA 30 MG. ENVASE CON 3 FRASCOS ÁMPULA O 3 AMPOLLETAS DE 1 ML. 
